id,hotel_name,hotel_id,hotel_score,hotel_image_id,hotel_location_info,hotel_grade_text,hotel_comment_desc,hotel_city_name
61,速8酒店(北京国展西坝河地铁站店),beijing_city_101646,4.8,https://userimg.qunarzz.com/imgs/202006/05/C.cC_hcDr0Cq5CraM7b480.webp,近中国国际展览中心(朝阳馆) · 国展中心,经济型,棒,北京
62,康铂酒店(北京南站丽泽金融区店),beijing_city_101657,4.9,https://userimg.qunarzz.com/imgs/202006/08/C.xBRU-74OVo5utVhXQ480.webp,近首都医科大学附属北京佑安医院 · 永定门/南站/大红门/南苑,舒适型,超棒,北京
63,桔子水晶北京南站木樨园酒店,beijing_city_101662,4.9,https://userimg.qunarzz.com/imgs/202205/17/C.NCXVFaaGRY_Tctjha480.webp,近木樨园地铁站 · 永定门/南站/大红门/南苑,高档型,超棒,北京
64,海友酒店(北京朝阳门店),beijing_city_101663,4.8,https://userimg.qunarzz.com/imgs/202101/26/C.aIertaCgRGOKdlCoC480.webp,近朝阳门地铁站 · 三里屯/工体/东直门,经济型,棒,北京
65,北京总部基地CitiGO欢阁酒店,beijing_city_101723,4.9,https://userimg.qunarzz.com/imgs/202009/09/C.szyI-wHmgj_HskwIH480.webp,近丰台科技园地铁站 · 总部基地/丰台/南宫,高档型,超棒,北京
66,速8酒店(北京枣园地铁站北大医院店),beijing_city_101732,4.7,https://userimg.qunarzz.com/imgs/202009/21/C.wggqxavoQZJdm0fpv480.webp,近枣园地铁站 · 大兴机场,经济型,很好,北京
67,北京通州北投希尔顿酒店,beijing_city_101759,4.8,https://userimg.qunarzz.com/imgs/202307/06/C.8mh3TTTJrlyxOV-RT480.webp,近北京ONE · 通州运河商务区,豪华型,棒,北京
68,维也纳酒店(北京五棵松大成路店),beijing_city_101773,4.8,https://userimg.qunarzz.com/imgs/202006/09/C.mUH5pM0oDaKevV1An480.webp,近小屯路 · 总部基地/丰台/南宫,舒适型,棒,北京
69,楠舍公寓(北京常营店),beijing_city_101813,4.8,https://userimg.qunarzz.com/imgs/202202/23/C.nHmQrNk46zMh0KBsk480.webp,近常营地铁站 · 传媒大学/管庄,经济型,棒,北京
70,北京十里春风青年旅舍,beijing_city_101932,4.9,https://userimg.qunarzz.com/imgs/202302/15/C.ZkOo5Kl1nUyfthVUR480.webp,近中国医学科学院肿瘤医院 · 劲松/潘家园,经济型,超棒,北京
71,北京圣祥住宿,beijing_city_101934,4.5,https://userimg.qunarzz.com/imgs/202309/07/C.jj25BSYIZqYuXycmY480.webp,近马驹桥 · 亦庄,经济型,不错,北京
72,北京转角遇到你青年旅社,beijing_city_101937,4.7,https://userimg.qunarzz.com/imgs/202007/24/C.qjHCYhOifCcHMFdFO480.webp,近中国医学科学院肿瘤医院 · 劲松/潘家园,经济型,很好,北京
73,家庭旅馆(北京304空军医院店),beijing_city_101968,4.8,https://userimg.qunarzz.com/imgs/202205/17/C.EGFGVAgSrhZLla9Rg480.webp,近空军特色医学中心 · 公主坟/五棵松/石景山游乐园,经济型,棒,北京
74,全季酒店(北京亚运村小营店),beijing_city_10216,4.9,https://userimg.qunarzz.com/imgs/202007/03/C.zb7ir40o9AEfuI80n480.webp,近北京联合大学 · 亚运村/奥体中心,舒适型,超棒,北京
75,北京山东宾馆,beijing_city_10217,4.7,https://userimg.qunarzz.com/imgs/202204/10/C.4kMLDkkpnmsBwsslk480.webp,近牡丹园地铁站 · 马甸/安贞,舒适型,很好,北京
76,汉庭酒店(北京酒仙桥798店),beijing_city_10218,4.9,https://userimg.qunarzz.com/imgs/202210/21/C.oxmJyUYo9lqXxtyJV480.webp,近酒仙桥 · 望京/酒仙桥/798,经济型,超棒,北京
77,城市有爱酒店(北京南站西铁营地铁站店),beijing_city_102194,4.9,https://userimg.qunarzz.com/imgs/202403/02/C.M4WJXgvUrFwlc19yg480.webp,近首都医科大学附属北京佑安医院 · 永定门/南站/大红门/南苑,高档型,超棒,北京
78,北京典雅庄园假日酒店,beijing_city_102199,4.6,https://userimg.qunarzz.com/imgs/202105/24/C.IY5EVJyEGUI_0UF3W480.webp,近龙脉温泉度假村 · 小汤山温泉区,经济型,好,北京
79,元和酒店(北京华北电力大学店),beijing_city_102201,4.9,https://userimg.qunarzz.com/imgs/202109/01/C.shF5gjjVCv4ymbVFj480.webp,近北京人家 · 回龙观/天通苑,经济型,超棒,北京
80,北京国贸商务区希尔顿欢朋酒店,beijing_city_102207,4.9,https://userimg.qunarzz.com/imgs/202006/23/C.yTroRV4-ueMHXsJx0480.webp,近四惠东地铁站 · 国贸CBD,高档型,超棒,北京
81,一木酒店(北京西站店),beijing_city_102213,4.8,https://userimg.qunarzz.com/imgs/202305/21/C.dAwV-BFU9bLXzevcF480.webp,近北京西站 · 北京西站/丽泽商务区,经济型,棒,北京
82,德全酒店(朝阳高铁站朝阳公园店),beijing_city_102225,4.9,https://userimg.qunarzz.com/imgs/202304/22/C.OzXLVSi2oSpsOmthS480.webp,近蜜糖国教育集团儿童乐园 · 燕莎/朝阳公园,经济型,超棒,北京
83,北京雅园绿景酒店,beijing_city_102226,4.8,https://userimg.qunarzz.com/imgs/202307/05/C.06xzIoSBQviSZ6GxI480.webp,近罗马湖左堤路 · 顺义温泉区,舒适型,棒,北京
84,盒子空间酒店(北京安贞店),beijing_city_102229,4.7,https://userimg.qunarzz.com/imgs/202006/30/C.l1ZsEKqiLHB33HIUl480.webp,近安贞医院 · 马甸/安贞,经济型,很好,北京
85,尚客优品酒店(北京大兴枣园地铁站中铁五院店),beijing_city_102234,4.9,https://userimg.qunarzz.com/imgs/202205/14/C.OpFk4Y5KbQyi5LcL6480.webp,近枣园地铁站 · 大兴机场,舒适型,超棒,北京
